Subj	Num	Term	Title	Period Code	Instructor	WC	Dist	Xlist	Lang Req	NR Eligible or CT/NC
MALS	137	Fall	Thesis Research (Individualized Study)	ARR	Donald Pease	N/A	N/A	N/A	N/A	N/A
MALS	137	Winter	Thesis Research	ARR	Donald Pease	N/A	N/A	N/A	N/A	N/A
MALS	137	Winter	Thesis Research	ARR	Donald Pease	N/A	N/A	N/A	N/A	N/A
MALS	141	Summer	Writing Crime Fiction (On Campus)	OT	Saul Lelchuk	N/A	N/A	N/A	N/A	N/A
MALS	191	Fall	Oral Hist and Digital Stories (On Campus)	OT	Harriette Yahr	N/A	N/A	N/A	N/A	N/A
MALS	200	Summer	Study Abroad	ARR	Donald Pease	N/A	N/A	N/A	N/A	N/A
MALS	202	Fall	Reading&Viewing the Holocaust (On Campus)	OT	Alan Lelchuk	N/A	N/A	N/A	N/A	N/A
MALS	206	Fall	Environmental Issues in Media (On Campus)	OT	David Van Wie	N/A	N/A	N/A	N/A	N/A
MALS	207	Summer	Journalism (On Campus)	OT	Thomas Zoellner	N/A	N/A	N/A	N/A	N/A
MALS	209	Spring	Writing the Other (On Campus)	OT	Barbara Kreiger	N/A	N/A	N/A	N/A	N/A
MALS	209	Winter	Writing the Other (On Campus)	OT	Barbara Kreiger	N/A	N/A	N/A	N/A	N/A
MALS	210	Spring	Intern'l Politics in Asia (On Campus)	OT	David Rezvani	N/A	N/A	N/A	N/A	N/A
MALS	211	Fall	Poetry (On Campus)	OT	Cynthia Huntington	N/A	N/A	N/A	N/A	N/A
MALS	215	Fall	Power&Politics in GreaterChina (On Campus)	OT	David Rezvani	N/A	N/A	N/A	N/A	N/A
MALS	226	Winter	Screenwriting (On Campus)	OT	William Phillips	N/A	N/A	N/A	N/A	N/A
MALS	239	Spring	Poetry (On Campus)	OT	Rena Mosteirin	N/A	N/A	N/A	N/A	N/A
MALS	277	Fall	Coloring Gender (On Campus)	OT	Regine Rosenthal	N/A	N/A	N/A	N/A	N/A
MALS	294	Summer	Post-Cold War Globalization (Remote, with synchronous components)	OT	Peter DeShazo	N/A	N/A	N/A	N/A	N/A
MALS	299	Winter	Tell Stories in Text & Images (On Campus)	OT	Kristin O'Rourke	N/A	N/A	N/A	N/A	N/A
MALS	318	Summer	Intro to Cultural Studies (On Campus)	OT	Donald Pease, Patricia McKee	N/A	N/A	N/A	N/A	N/A
MALS	337	Winter	New Glob Ord: Devpt, Dem & Rev (On Campus)	OT	Peter DeShazo, Evelyn Lechner	N/A	N/A	N/A	N/A	N/A
MALS	346	Spring	Diasporas & Migrations (On Campus)	OT	Klaus Milich, Regine Rosenthal	N/A	N/A	N/A	N/A	N/A
MALS	365	Fall	Three Faces of Labor (On Campus)	OT	Nancy Fraser	N/A	N/A	N/A	N/A	N/A
MALS	373	Winter	Epidemics:Vortex Fear/Wisdom (On Campus)	OT	Daniel Lucey	N/A	N/A	N/A	N/A	N/A
