Subj	Num	Term	Title	Period Code	Instructor	WC	Dist	Xlist	Lang Req	NR Eligible or CT/NC
AAAS	10	Spring	Intro African Amer Studies	10A	Trica Keaton	CI	SOC	N/A	N/A	NR Eligible
AAAS	10	Winter	Intro African Amer Studies	12	Trica Keaton	CI	SOC	N/A	N/A	NR Eligible
AAAS	11	Fall	Intro to African Studies	10	Robert Baum	NW	SOC	N/A	N/A	NR Eligible
AAAS	12	Winter	Race&Slavery in US History	10	Darryl Barthe	W	SOC	HIST 016 01	N/A	N/A
AAAS	14	Winter	PreColonial African History	2	Clifford Campbell	NW	SOC	HIST 05.01 01	N/A	NR Eligible
AAAS	19	Summer	Africa and the World	11	Naaborko Sackeyfio-Lenoch	NW	INT or SOC	HIST 05.08 01	N/A	NR Eligible
AAAS	20.01	Fall	Dartmouth Black Lives	9L	Julia Rabig, Darryl Barthe	CI	SOC	HIST 10.04 01	N/A	N/A
AAAS	20.15	Winter	Black Feminist Thought	2	Misty De Berry	CI	SOC	WGSS 66.04 01	N/A	N/A
AAAS	21.05	Spring	Carceral Geographies	11	Darius Scott	N/A	SOC	GEOG 027 01, WGSS 37.04 01	N/A	N/A
AAAS	21.1	Fall	Race and Modernity	3A	Bailey Thomas	W	LIT	ENGL 53.43 01, PHIL 01.17 01	N/A	NR Eligible
AAAS	21.15	Spring	Black Ethnicities in the US	10A	Darryl Barthe	W	SOC	HIST 09.06 01	N/A	N/A
AAAS	22.5	Fall	Islam in America	11	Zahra Ayubi	W	TMV	REL 16.03 01	N/A	NR Eligible
AAAS	24	Spring	Black Radical Tradition	10	Darryl Barthe	W	SOC	HIST 037 01	N/A	N/A
AAAS	24	Winter	Black Radical Tradition	12	Darryl Barthe	W	SOC	HIST 037 01	N/A	N/A
AAAS	26	Fall	Toni Morrison	2A	Patricia McKee	CI	INT or LIT	ENGL 63.02 01	N/A	N/A
AAAS	31.8	Spring	Performing Histories & Us	2A	Monica Ndounou	CI	ART	FILM 47.33 01, THEA 10.84 01	N/A	N/A
AAAS	32.01	Winter	Race & Gender in Amer Film	6B	Desiree Garcia	W	ART	FILM 47.24 01, LATS 025 01	N/A	N/A
AAAS	32.05	Spring	Cinema of Black Protest	3B	Trica Keaton	W	SOC	FILM 42.16 01	N/A	NR Eligible
AAAS	32.05	Winter	Cinema of Black Protest	3A	Trica Keaton	W	SOC	FILM 42.16 01	N/A	NR Eligible
AAAS	34	Winter	Early Black American Lit	10	Michael Chaney	W	LIT	ENGL 030 01	N/A	NR Eligible
AAAS	35.01	Spring	Black Elegies	6B	Kimberly Brown	CI	LIT	ENGL 73.03 01, WGSS 66.11 01	N/A	N/A
AAAS	36.5	Fall	Rasta and Rastafari	10	Clifford Campbell	NW	N/A	N/A	N/A	N/A
AAAS	39	Winter	Jazz History	2A	Taylor Bynum	N/A	ART	MUS 005 01	N/A	NR Eligible
AAAS	39.06	Fall	Hip-Hop in the US	2A	Alison Martin	CI	ART	MUS 18.02 01	N/A	NR Eligible
AAAS	39.07	Fall	Verzuz: Black Popular Music	10A	Alison Martin	CI	ART	MUS 18.03 01	N/A	NR Eligible
AAAS	42	Spring	Women, Rlgn, Soc Chg in Afr	2A	Robert Baum	NW	SOC	REL 066 01, WGSS 44.03 01	N/A	N/A
AAAS	50	Winter	Colnlsm,Dvlpmt&Env-Afr&Asia	11	Douglas Haynes	NW	INT or SOC	ASCL 54.07 01, ENVS 045 01, HIST 075 01	N/A	NR Eligible
AAAS	55.02	Spring	The Idea of Africa	2A	Ayo Coly, Mark Williams	NW	ART	FILM 44.12 01	N/A	N/A
AAAS	60.5	Winter	Racial Geographies	12	Clifford Campbell	CI	SOC	ANTH 50.28 01, GEOG 071 01	N/A	NR Eligible
AAAS	61	Fall	Caribbean Hist 1898-Present	12	Clifford Campbell	NW	INT or SOC	HIST 92.01 01, LACS 059 01	N/A	NR Eligible
AAAS	61.05	Summer	Black Agrarian Democracy	2A	Marvin Chochotte	NW	SOC	HIST 92.07 01, LACS 039 01	N/A	N/A
AAAS	62	Spring	Nat'lism & Revolution Carib	10A	Marvin Chochotte	NW	INT or SOC	HIST 92.02 01, LACS 054 01	N/A	N/A
AAAS	65.06	Summer	Jews and Race	2A	Eli Rosenblatt	W	INT or TMV	JWST 013 01, SOCY 49.25 01	N/A	N/A
AAAS	65.06	Fall	Jews and Race	10A	Shaul Magid	W	INT or TMV	JWST 013 01, SOCY 49.25 01	N/A	N/A
AAAS	67.06	Spring	AfricanDiasporaWomenWriters	3A	Kimberly Brown	CI	LIT	ENGL 53.47 01, WGSS 66.07 01	N/A	N/A
AAAS	67.5	Spring	Black Consciousness &Femins	10A	Abigail Neely	CI	SOC	GEOG 072 01, WGSS 66.09 01	N/A	N/A
AAAS	80.1	Spring	W.E.B. DuBois	2A	Esther Rosario	N/A	N/A	ENGL 53.40 01, PHIL 01.13 01	N/A	NR Eligible
AAAS	83.08	Spring	The Global Caribbean	10A	Chelsey Kivland	NW	SOC	ANTH 033 01, LACS 038 01	N/A	N/A
AAAS	85.01	Spring	SouthAfrican Lit in English	2A	Peter Orner	CI	LIT	ENGL 55.13 01	N/A	NR Eligible
AAAS	86.04	Fall	Brazil's Shifting Society	9L	Daniel McDonald	NW	SOC	LACS 30.11 01	N/A	N/A
AAAS	87.07	Fall	Globalizn & Afr Continent	FS	Ayo Coly	CI	INT or SOC	N/A	N/A	N/A
AAAS	87.08	Fall	Slavery in Ghana & Africa	FS	Ayo Coly	NW	SOC	N/A	N/A	N/A
AAAS	87.09	Winter	African Popular Culture	10A	Jesse Shipley	NW	SOC	ANTH 12.14 01	N/A	NR Eligible
AAAS	87.11	Fall	Language in Africa	12	Laura McPherson	NW	SOC	LING 11.10 01	LRP	NR Eligible
AAAS	87.12	Spring	Africa's Time?	10	Clifford Campbell	NW	SOC	ANTH 12.24 01	N/A	NR Eligible
AAAS	88.08	Spring	Ethnography of Violence	2A	Chelsey Kivland	NW	INT or SOC	ANTH 028 01, WGSS 42.05 01	N/A	N/A
AAAS	88.08	Summer	Ethnography of Violence	2A	Chelsey Kivland	NW	INT or SOC	ANTH 028 01, WGSS 42.05 01	N/A	NR Eligible
AAAS	88.12	Spring	Diaspora Practice to Theory	12	Clifford Campbell	CI	LIT	ENGL 53.35 01	N/A	NR Eligible
AAAS	88.16	Summer	Sovereignty, Race, Rights	2A	Jesse Shipley	NW	INT or SOC	ANTH 50.22 01	N/A	N/A
AAAS	88.17	Summer	Filmmaking & Visual Culture	10A	Jesse Shipley	NW	SOC	ANTH 50.21 01	N/A	N/A
AAAS	89	Spring	Readngs in Af/Af-Am Studies	ARR	Ayo Coly	N/A	N/A	N/A	N/A	N/A
AAAS	89	Summer	Readngs in Af/Af-Am Studies	ARR	Ayo Coly	N/A	N/A	N/A	N/A	N/A
AAAS	89	Fall	Readngs in Af/Af-Am Studies	ARR	Ayo Coly	N/A	N/A	N/A	N/A	N/A
AAAS	89	Fall	Readngs in Af/Af-Am Studies	FS	Ayo Coly	N/A	N/A	N/A	N/A	N/A
AAAS	89	Winter	Readngs in Af/Af-Am Studies	ARR	Michael Chaney	N/A	N/A	N/A	N/A	N/A
AAAS	90.12	Winter	Aesthetics and Power	2A	Jesse Shipley	NW	INT or SOC	N/A	N/A	N/A
AAAS	97	Spring	Senior Ind Research in AAAS	ARR	Ayo Coly	N/A	N/A	N/A	N/A	N/A
AAAS	97	Summer	Senior Ind Research in AAAS	ARR	Ayo Coly	N/A	N/A	N/A	N/A	N/A
AAAS	97	Fall	Senior Ind Research in AAAS	ARR	Ayo Coly	N/A	N/A	N/A	N/A	N/A
AAAS	97	Winter	Senior Ind Research in AAAS	ARR	Michael Chaney	N/A	N/A	N/A	N/A	N/A
AAAS	98	Summer	Honors Thesis	ARR	Ayo Coly	N/A	N/A	N/A	N/A	N/A
AAAS	98	Fall	Honors Thesis	ARR	Ayo Coly	N/A	N/A	N/A	N/A	N/A
AAAS	98	Winter	Honors Thesis	ARR	Michael Chaney	N/A	N/A	N/A	N/A	N/A
AAAS	99	Spring	Honors Thesis	ARR	Ayo Coly	N/A	N/A	N/A	N/A	N/A
AAAS	99	Summer	Honors Thesis	ARR	Ayo Coly	N/A	N/A	N/A	N/A	N/A
AAAS	99	Fall	Honors Thesis	ARR	Ayo Coly	N/A	N/A	N/A	N/A	N/A
AAAS	99	Winter	Honors Thesis	ARR	Michael Chaney	N/A	N/A	N/A	N/A	N/A
ANTH	3	Summer	Intro-Cultural Anthropology	10A	Chelsey Kivland, Sienna Craig	NW	INT or SOC	N/A	N/A	NR Eligible
ANTH	3	Winter	Intro-Cultural Anthropology	12	Maron Greenleaf	NW	INT or SOC	N/A	N/A	NR Eligible
ANTH	5	Spring	Introduction to Archaeology	9L	Petra Creamer	N/A	SOC	N/A	N/A	N/A
ANTH	6	Fall	Intro to Biological Anth	10A	Jeremy DeSilva, Nathaniel Dominy	N/A	SCI	N/A	N/A	NR Eligible
ANTH	6	Winter	Intro to Biological Anth	10A	Jennifer Eyre	N/A	SCI	N/A	N/A	NR Eligible
ANTH	8	Winter	Rise&Fall Prehist Civzn	2	Zachary Silvia	NW	INT or SOC	N/A	N/A	NR Eligible
ANTH	9	Spring	Language & Culture	10A	Sabrina Billings	N/A	SOC	N/A	N/A	N/A
ANTH	9	Fall	Language & Culture	10	Sabrina Billings	N/A	SOC	N/A	N/A	N/A
ANTH	11	Fall	Ancient Native Americans	10A	Madeleine McLeester	NW	SOC	NAIS 011 01	N/A	N/A
ANTH	12.01	Spring	Ethnographic Film	3A	Laura Ogden	NW	INT or SOC	FILM 41.04 01	N/A	N/A
ANTH	12.14	Winter	African Popular Culture	10A	Jesse Shipley	NW	SOC	AAAS 87.09 01	N/A	NR Eligible
ANTH	12.19	Summer	Latino Roots & Transitions	10A	Christina Gomez	CI	SOC	LATS 044 01, SOCY 043 01	N/A	NR Eligible
ANTH	12.24	Spring	Africa's Time?	10	Clifford Campbell	NW	SOC	AAAS 87.12 01	N/A	NR Eligible
ANTH	12.26	Fall	Environmental Justice	10A	Maron Greenleaf	N/A	SOC	GEOG 39.01 01	N/A	NR Eligible
ANTH	17	Winter	The Anth of Health&Illness	3A	Ellen Kozelka	N/A	INT or SOC	N/A	N/A	N/A
ANTH	18	Fall	Rsrch Mthds Cultural Anth	10A	Elizabeth Carpenter-Song	N/A	SOC	N/A	N/A	NR Eligible
ANTH	20	Spring	Primate Evolution & Ecology	11	Nathaniel Dominy	N/A	SCI	N/A	N/A	NR Eligible
ANTH	27	Spring	Economic Anthropology	11	Maron Greenleaf	N/A	INT or SOC	N/A	N/A	N/A
ANTH	27	Fall	Economic Anthropology	11	Maron Greenleaf	N/A	INT or SOC	N/A	N/A	NR Eligible
ANTH	28	Spring	Ethnography of Violence	2A	Chelsey Kivland	NW	INT or SOC	AAAS 88.08 01, WGSS 42.05 01	N/A	N/A
ANTH	28	Summer	Ethnography of Violence	2A	Chelsey Kivland, Charis Boke	NW	INT or SOC	AAAS 88.08 01, WGSS 42.05 01	N/A	NR Eligible
ANTH	31	Fall	Gendr Cross Cltrl Perspctve	12	Sabrina Billings	CI	INT or SOC	WGSS 36.01 01	N/A	N/A
ANTH	33	Spring	The Global Caribbean	10A	Chelsey Kivland	NW	SOC	AAAS 83.08 01, LACS 038 01	N/A	N/A
ANTH	39	Fall	ArchaeologyOfTheMiddleEast	2	Zachary Silvia	NW	INT or SOC	MES 03.02 01	N/A	NR Eligible
ANTH	43	Spring	Human Osteology	9L	Georgina Voegele	N/A	SLA	N/A	N/A	N/A
ANTH	43	Fall	Human Osteology	2A	Jennifer Eyre	N/A	SLA	N/A	N/A	N/A
ANTH	44	Spring	Language,Gender & Sexuality	2A	Sabrina Billings	N/A	SOC	WGSS 53.07 01	N/A	N/A
ANTH	50.05	Winter	Environmental Archeology	2A	Madeleine McLeester	N/A	SLA	N/A	N/A	N/A
ANTH	50.21	Summer	Filmmaking & Visual Culture	10A	Jesse Shipley	NW	SOC	AAAS 88.17 01	N/A	N/A
ANTH	50.22	Summer	Sovereignty, Race, Rights	2A	Jesse Shipley	NW	INT or SOC	AAAS 88.16 01	N/A	N/A
ANTH	50.28	Winter	Racial Geographies	12	Clifford Campbell	CI	SOC	AAAS 60.50 01, GEOG 071 01	N/A	NR Eligible
ANTH	50.32	Winter	IndigenousReligionsAmericas	11	Darryl Wilkinson	CI	TMV	REL 03.01 01	N/A	NR Eligible
ANTH	50.41	Spring	Homelands & Diasporas	10A	Sergei Kan	CI	INT or SOC	COCO 033 01, JWST 05.01 01, RUSS 38.15 01	N/A	N/A
ANTH	50.44	Winter	Darwin & Human Evolution	10A	Jeremy DeSilva	N/A	SCI	N/A	N/A	N/A
ANTH	50.46	Winter	Macroevolution	12	Kevin Peterson	N/A	SCI	BIOL 028 01, EARS 032 01	N/A	NR Eligible
ANTH	50.47	Spring	Archaeology Field Methods	10A	Jesse Casana	N/A	SLA	N/A	N/A	N/A
ANTH	50.47	Spring	Archaeology Field Methods(Laboratory)	OT	Jesse Casana	N/A	N/A	N/A	N/A	N/A
ANTH	50.47	Spring	Archaeology Field Methods(Laboratory)	OT	Jesse Casana	N/A	N/A	N/A	N/A	N/A
ANTH	50.48	Spring	Energy Justice	10A	Sarah Kelly	N/A	INT or SOC	GEOG 40.04 01	N/A	N/A
ANTH	50.5	Spring	Archaeology of Food	2	Jiajing Wang	N/A	INT or SCI	N/A	N/A	NR Eligible
ANTH	51	Winter	Colonialism & its Legacies	FS	Sienna Craig	CI	INT or SOC	N/A	N/A	N/A
ANTH	52	Winter	Intro to Maori Society	FS	Sienna Craig	NW	SOC	N/A	N/A	N/A
ANTH	54	Winter	Foreign Studies in Anthro	FS	Sienna Craig	N/A	SOC	N/A	N/A	N/A
ANTH	55	Spring	Anthropology of Global Hlth	10	Anne Sosin	N/A	INT or SOC	N/A	N/A	NR Eligible
ANTH	55	Fall	Anthropology of Global Hlth	11	Anne Sosin	N/A	INT or SOC	N/A	N/A	NR Eligible
ANTH	72	Spring	Ethnicity and Nationalism	2A	Sergei Kan	CI	INT or SOC	N/A	N/A	N/A
ANTH	72	Winter	Ethnicity and Nationalism	2A	Sergei Kan	CI	INT or SOC	N/A	N/A	N/A
ANTH	74	Spring	The Human Spectrum	2	Nathaniel Dominy	NW	SOC	N/A	N/A	N/A
ANTH	75	Fall	Ecology, Culture & Envrnmnt	3A	Jiajing Wang	N/A	SOC	N/A	N/A	N/A
ANTH	85	Spring	Reading Course	ARR	Jesse Casana	N/A	N/A	N/A	N/A	N/A
ANTH	85	Summer	Reading Course	ARR	Jesse Casana	N/A	N/A	N/A	N/A	N/A
ANTH	85	Fall	Reading Course	ARR	Jesse Casana	N/A	N/A	N/A	N/A	N/A
ANTH	85	Winter	Reading Course	ARR	Jeremy DeSilva	N/A	N/A	N/A	N/A	N/A
ANTH	87	Spring	Research Course	ARR	Jesse Casana	N/A	N/A	N/A	N/A	N/A
ANTH	87	Summer	Research Course	ARR	Jesse Casana	N/A	N/A	N/A	N/A	N/A
ANTH	87	Fall	Research Course	ARR	Jesse Casana	N/A	N/A	N/A	N/A	N/A
ANTH	87	Winter	Research Course	ARR	Jeremy DeSilva	N/A	N/A	N/A	N/A	N/A
ANTH	88	Spring	Anthropology Honors	ARR	Jesse Casana	N/A	N/A	N/A	N/A	N/A
ANTH	88	Summer	Anthropology Honors	ARR	Jesse Casana	N/A	N/A	N/A	N/A	N/A
ANTH	88	Fall	Anthropology Honors	ARR	Jesse Casana	N/A	N/A	N/A	N/A	N/A
ANTH	88	Winter	Anthropology Honors	ARR	Jeremy DeSilva	N/A	N/A	N/A	N/A	N/A
ARAB	1	Fall	First Yr Courses in Arabic	9S	Jamila Chahboun	N/A	N/A	N/A	N/A	N/A
ARAB	1	Fall	First Yr Courses in Arabic	9S	El Mostafa Ouajjani	N/A	N/A	N/A	N/A	N/A
ARAB	1.2	Winter	Intensive Arabic	10	Mokhtar Bouba	N/A	N/A	N/A	LACC	N/A
ARAB	2	Winter	First Yr Courses in Arabic	9S	Jamila Chahboun	N/A	N/A	N/A	N/A	N/A
ARAB	2	Winter	First Yr Courses in Arabic	9S	El Mostafa Ouajjani	N/A	N/A	N/A	N/A	N/A
ARAB	3	Spring	First Yr Courses in Arabic	9S	Jamila Chahboun	N/A	N/A	N/A	N/A	N/A
ARAB	3	Spring	First Yr Courses in Arabic	9S	El Mostafa Ouajjani	N/A	N/A	N/A	N/A	N/A
ARAB	22	Summer	Intermediate Arabic	FS	Tarek El-Ariss	NW	LIT	N/A	N/A	N/A
ARAB	22	Fall	Intermediate Arabic	10	Jamila Chahboun	NW	LIT	N/A	LADV	N/A
ARAB	23	Spring	Intermediate Arabic	10	El Mostafa Ouajjani	NW	N/A	N/A	N/A	NR Eligible
ARAB	23	Summer	Intermediate Arabic	FS	Tarek El-Ariss	NW	N/A	N/A	N/A	N/A
ARAB	31	Summer	Advanced Arabic	FS	Tarek El-Ariss	NW	N/A	N/A	LADV	N/A
ARAB	31	Fall	Advanced Arabic	10	El Mostafa Ouajjani	NW	N/A	N/A	LADV	N/A
ARAB	32	Summer	Advanced Arabic	FS	Tarek El-Ariss	NW	N/A	N/A	LADV	N/A
ARAB	41	Fall	Advanced Arabic	ARR	Hussein Kadhim	NW	LIT	N/A	LADV	NR Eligible
ARAB	42	Summer	Advanced Arabic	FS	Tarek El-Ariss	NW	LIT	N/A	LADV	N/A
ARAB	42	Winter	Advanced Arabic	ARR	Hussein Kadhim	NW	LIT	N/A	LADV	NR Eligible
ARAB	43.01	Spring	Adv Arab Con & Reading	ARR	Hussein Kadhim	NW	LIT	N/A	N/A	NR Eligible
ARAB	43.01	Summer	Adv Arab Con & Reading	FS	Tarek El-Ariss	NW	LIT	N/A	N/A	N/A
ARAB	59	Winter	Ind Adv Study Arab Lang&Lit	ARR	Christopher MacEvitt	NW	LIT	N/A	N/A	N/A
ARTH	1	Fall	Bodies and Buildings	11	Nicola Camerlenghi, Steven Kangas	W	ART	N/A	N/A	N/A
ARTH	2	Winter	Intro History of Art II	11	Katherine Hornstein, Joy Kenseth	W	ART	N/A	N/A	N/A
ARTH	7.02	Spring	Paris in the 19th Century	12	Kristin O'Rourke	N/A	N/A	N/A	N/A	N/A
ARTH	7.05	Winter	Pompeii-Antique & Modern	10A	Ada Cohen	N/A	N/A	N/A	N/A	N/A
ARTH	10.01	Spring	Art Ancient Egypt&Near East	12	Steven Kangas	NW	ART	N/A	N/A	N/A
ARTH	10.01	Winter	Art Ancient Egypt&Near East	10	Steven Kangas	NW	ART	MES 16.41 01	N/A	N/A
ARTH	11.01	Fall	Art in Ancient Greece	12	Steven Kangas	W	ART	N/A	N/A	N/A
ARTH	12.01	Winter	Roman Art	12	Ada Cohen	W	ART	N/A	N/A	N/A
ARTH	17.01	Summer	Rome: The Eternal City	10A	Nicola Camerlenghi	W	ART	N/A	N/A	N/A
ARTH	17.05	Summer	Castle, Cloister, Cathedral	2A	Nicola Camerlenghi	W	ART	N/A	N/A	N/A
ARTH	18.01	Spring	Ancient Art and Myth	2A	Steven Kangas	W	ART	N/A	N/A	N/A
ARTH	26.01	Spring	FSP: History of Art in Rome	FS	Katherine Hornstein	N/A	ART	N/A	N/A	N/A
ARTH	26.02	Spring	FSP: Early Modern Arch Rome	FS	Katherine Hornstein	W	ART	N/A	N/A	N/A
ARTH	26.03	Spring	Foreign Study III	FS	Katherine Hornstein	N/A	ART	N/A	N/A	N/A
ARTH	28.05	Spring	Art & Society in the Rococo	10	Kristin O'Rourke	W	ART	N/A	N/A	N/A
ARTH	28.1	Fall	Fashion in Art	10A	Kristin O'Rourke	N/A	ART	N/A	N/A	N/A
ARTH	32.21	Fall	Sacred Art&Arch of Japan	10	Allen Hockley	NW	ART	ASCL 62.10 01	N/A	N/A
ARTH	34.01	Winter	Arts of Tibet	2	Xiaotian Yin	NW	ART	ASCL 52.02 01	N/A	N/A
ARTH	38.01	Winter	Sacred Architecture of Asia	10	Allen Hockley	NW	INT or ART	ASCL 70.01 01	N/A	N/A
ARTH	43.01	Winter	Feminist & Queer Video Art	3A	Solveig Nelson	N/A	N/A	N/A	N/A	N/A
ARTH	47.04	Fall	Architecture & the Uncanny	2	Adedoyin Teriba	CI	ART	N/A	N/A	N/A
ARTH	47.05	Winter	A Mirror Image	12	Adedoyin Teriba	N/A	N/A	N/A	N/A	N/A
ARTH	48.05	Fall	Satire: Art Polit Critique	2	Kristin O'Rourke	W	ART	N/A	N/A	N/A
ARTH	61.71	Fall	Italian Renaissance Arch.	10	Nicola Camerlenghi	W	ART	N/A	N/A	N/A
ARTH	62.2	Fall	Mod-Contemporary Korean Art	2A	Sunglim Kim	NW	ART	ASCL 62.08 01	N/A	N/A
ARTH	62.3	Spring	Japanese Prints	10	Allen Hockley	NW	ART	ASCL 62.12 01	N/A	N/A
ARTH	62.81	Winter	Women, Gender & Art	2A	Sunglim Kim	NW	ART	ASCL 62.13 01	N/A	N/A
ARTH	63.01	Fall	Mexican Muralism	12	Mary Coffey	CI	ART	LACS 048 01	N/A	N/A
ARTH	63.02	Winter	Why Are Museums¿?	10A	Mary Coffey	N/A	ART	N/A	N/A	N/A
ARTH	63.23	Spring	Global Contemporary Art	2A	Chad Elias	CI	ART	N/A	N/A	N/A
ARTH	89.03	Fall	Snr Seminar Theory & Method	10A	Mary Coffey	N/A	ART	N/A	N/A	N/A
ARTH	91	Fall	Honors	ARR	Katherine Hornstein	N/A	N/A	N/A	N/A	N/A
ARTH	91	Winter	Honors	ARR	Katherine Hornstein	N/A	N/A	N/A	N/A	N/A
ARTH	92	Spring	Honors II	ARR	Ada Cohen	N/A	N/A	N/A	N/A	N/A
ARTH	92	Winter	Honors II	ARR	Katherine Hornstein	N/A	N/A	N/A	N/A	N/A
ASCL	1.01	Fall	Urban Asia	2A	Sujin Eom	NW	INT or SOC	N/A	N/A	N/A
ASCL	7.03	Winter	Asian American Art & Arch	10A	Sujin Eom	N/A	N/A	N/A	N/A	N/A
ASCL	10.01	Spring	Intro to Chinese Culture (Remote)	11	Levi Gibbs, Qiong Xie	CI	LIT	N/A	N/A	N/A
ASCL	10.02	Fall	Intro to Korean Culture	10A	Sunglim Kim, Soyoung Suh	CI	SOC	HIST 05.04 01	N/A	NR Eligible
ASCL	10.03	Spring	Intro Japanese Culture	11	Sachi Schmidt-Hori	CI	LIT	N/A	N/A	NR Eligible
ASCL	51.03	Winter	Indian Buddhism	10	Reiko Ohnuma	NW	TMV	REL 018 01	N/A	NR Eligible
ASCL	51.04	Fall	Tibetan Buddhism	10	Gregory Seton	NW	TMV	REL 41.05 01	N/A	N/A
ASCL	51.05	Winter	Religions of Southeast Asia	12	Sara Swenson	NW	TMV	REL 02.01 01	N/A	NR Eligible
ASCL	51.06	Spring	Buddhism Sex Gender SE Asia	10A	Sara Swenson	NW	TMV	REL 41.07 01	N/A	N/A
ASCL	51.07	Winter	Gods, Demons & Monkeys	2	Reiko Ohnuma	NW	TMV	REL 40.01 01	N/A	N/A
ASCL	52.02	Winter	Arts of Tibet	2	Xiaotian Yin	NW	ART	ARTH 34.01 01	N/A	N/A
ASCL	54.07	Winter	Colnlsm,Dvlpmt&Env-Afr&Asia	11	Douglas Haynes	NW	INT or SOC	AAAS 050 01, ENVS 045 01, HIST 075 01	N/A	NR Eligible
ASCL	54.08	Spring	ColIndia to Post Ind SoAsia	11	Elizabeth Lhost	NW	INT or SOC	HIST 076 01	N/A	NR Eligible
ASCL	54.11	Winter	Gandhi, 20thC India&World	2	Sarah Carson	NW	INT or SOC	HIST 05.11 01	N/A	NR Eligible
ASCL	54.12	Fall	Early Mod India, 1500-1800	2	Tiraana Bains	NW	SOC	HIST 90.15 01	N/A	NR Eligible
ASCL	59.04	Fall	Foreign Study in Vietnam	ARR	Edward Miller	NW	SOC	N/A	N/A	N/A
ASCL	60.05	Fall	Love&Desire-Mod Chinese Lit	2A	Levi Gibbs	NW	LIT	N/A	N/A	N/A
ASCL	60.2	Spring	Lang of Gender,Class,Nation	10	Sachi Schmidt-Hori	NW	INT or TMV	N/A	N/A	N/A
ASCL	60.26	Winter	Japan Thru Graphic Novels	12	Sachi Schmidt-Hori	NW	LIT	N/A	N/A	N/A
ASCL	60.3	Summer	Modern Korean Lit Global	3A	Qiong Xie	NW	INT or LIT	N/A	N/A	N/A
ASCL	61.01	Winter	The Religions of China	2	Gil Raz	NW	TMV	REL 010 01	N/A	NR Eligible
ASCL	61.04	Fall	Buddhist Meditation Theory	2	Gregory Seton	NW	TMV	REL 41.04 01	N/A	N/A
ASCL	61.07	Spring	Shinto: Festivals & Foxes	12	Emily Simpson	NW	TMV	REL 19.32 01	N/A	NR Eligible
ASCL	61.1	Summer	Japanese Martial Arts	2	James Dorsey	NW	TMV	N/A	N/A	N/A
ASCL	61.11	Winter	Daoism	10	Gil Raz	NW	TMV	REL 046 01	N/A	N/A
ASCL	62.02	Spring	Trad Performance in China (Remote)	12	Levi Gibbs	NW	LIT	N/A	N/A	N/A
ASCL	62.06	Spring	Explore Korea Through Films	3A	Sunglim Kim	NW	SOC	N/A	N/A	N/A
ASCL	62.06	Winter	Explore Korea Through Films	3A	Sunglim Kim	NW	SOC	N/A	N/A	N/A
ASCL	62.08	Fall	Mod-Contemporary Korean Art	2A	Sunglim Kim	NW	ART	ARTH 62.20 01	N/A	N/A
ASCL	62.1	Fall	Sacred Art&Arch of Japan	10	Allen Hockley	NW	ART	ARTH 32.21 01	N/A	N/A
ASCL	62.12	Spring	Japanese Prints	10	Allen Hockley	NW	ART	ARTH 62.30 01	N/A	N/A
ASCL	62.13	Winter	Women, Gender & Art	2A	Sunglim Kim	NW	ART	ARTH 62.81 01	N/A	N/A
ASCL	64.09	Spring	Imprial China/Global Cntxt	2	Erqi Cheng	NW	SOC	HIST 072 01	N/A	NR Eligible
ASCL	64.11	Spring	Emergence of Modern Japan	12	Connor Mills	NW	SOC	HIST 05.05 01	N/A	NR Eligible
ASCL	64.11	Fall	Emergence of Modern Japan	2	Steven Ericson	NW	SOC	HIST 05.05 01	N/A	NR Eligible
ASCL	64.12	Winter	Postwar Japan	10A	Steven Ericson	NW	SOC	HIST 079 01	N/A	NR Eligible
ASCL	64.14	Fall	Slaves & Rebels in Korea	12	Soyoung Suh	NW	SOC	HIST 78.04 01	N/A	NR Eligible
ASCL	67.01	Fall	Politics of Japan	9L	Yusaku Horiuchi	NW	INT or SOC	GOVT 40.03 01	N/A	N/A
ASCL	69.23	Fall	Shogun and Samurai	LS	Allen Hockley	NW	SOC	N/A	N/A	N/A
ASCL	70.01	Winter	Sacred Architecture of Asia	10	Allen Hockley	NW	INT or ART	ARTH 38.01 01	N/A	N/A
ASCL	70.07	Fall	Asian Performance	2A	Woon-Ping Chin	NW	ART	THEA 024 01	N/A	N/A
ASCL	70.12	Spring	Lit & Cul Asian Borderlands	2	Qiong Xie	NW	INT or LIT	N/A	N/A	N/A
ASCL	70.18	Summer	SocialRevolutionsJapan&US	10A	James Dorsey	CI	INT or LIT	COLT 57.10 01	N/A	NR Eligible
ASCL	70.22	Fall	Developing Vietnam	9L	Edward Miller	NW	SOC	N/A	N/A	N/A
ASCL	70.23	Fall	Travel, Migration& Diaspora	10A	Sujin Eom	NW	INT or SOC	N/A	N/A	N/A
ASCL	80.05	Fall	Regional Identity in China	10A	Levi Gibbs	NW	LIT	N/A	N/A	N/A
ASCL	80.08	Winter	Imperialism Modrn East Asia	2A	Steven Ericson	NW	INT or SOC	HIST 077 01	N/A	NR Eligible
ASCL	89	Spring	Independent Research	ARR	Allen Hockley	N/A	N/A	N/A	N/A	N/A
ASCL	89	Summer	Independent Research	ARR	Allen Hockley	N/A	N/A	N/A	N/A	N/A
ASCL	89	Fall	Independent Research	ARR	Allen Hockley	N/A	N/A	N/A	N/A	N/A
